user_name,week_number,game_number,squiggle_game_key,home_team,away_team,winning_team,selected_team,is_correct,source_tab
Jamie,2,3,023,Essendon,Adelaide,Adelaide,Adelaide,1,Round 2
Jamie,2,4,024,Port Adelaide,Richmond,Port Adelaide,Richmond,0,Round 2
Jamie,2,5,025,St Kilda,Geelong,St Kilda,Geelong,0,Round 2
Jamie,2,6,026,Brisbane Lions,West Coast,Brisbane Lions,Brisbane Lions,1,Round 2
Jamie,2,7,027,North Melbourne,Melbourne,North Melbourne,Melbourne,0,Round 2
Jamie,2,8,028,Fremantle,Sydney,Sydney,Fremantle,0,Round 2
Zoe,2,1,021,Carlton,Hawthorn,Hawthorn,Hawthorn,1,Round 2
Zoe,2,2,022,Western Bulldogs,Collingwood,Collingwood,Collingwood,1,Round 2
Zoe,2,3,023,Essendon,Adelaide,Adelaide,Adelaide,1,Round 2
Zoe,2,4,024,Port Adelaide,Richmond,Port Adelaide,Port Adelaide,1,Round 2
Zoe,2,5,025,St Kilda,Geelong,St Kilda,Geelong,0,Round 2
Zoe,2,6,026,Brisbane Lions,West Coast,Brisbane Lions,Brisbane Lions,1,Round 2
